Tahun,Bulan,Nilai
2020,Januari,70.67
2020,Februari,98.46
2020,Maret,79.73
2020,April,108.40
2020,Mei,91.63
2020,Juni,93.15
2020,Juli,104.04
2020,Agustus,110.57
2020,September,120.64
2020,Oktober,119.14
2020,November,0
2020,Desember,0
2019,Januari,64.13
2019,Februari,66.87
2019,Maret,88.83
2019,April,71.02
2019,Mei,103.88
2019,Juni,95.73
2019,Juli,97.10
2019,Agustus,109.21
2019,September,122.98
2019,Oktober,133.51
2019,November,137.35
2019,Desember,123
2018,Januari,66.04
2018,Februari,90.58
2018,Maret,91.88
2018,April,87.19
2018,Mei,105.67
2018,Juni,107.82
2018,Juli,111.77
2018,Agustus,99.68
2018,September,93.97
2018,Oktober,101.50
2018,November,109.93
2018,Desember,98.48
2017,Januari,92.21
2017,Februari,86.29
2017,Maret,87
2017,April,88.10
2017,Mei,87.48
2017,Juni,62.90
2017,Juli,73.20
2017,Agustus,84.54
2017,September,80.98
2017,Oktober,80.04
2017,November,76
2017,Desember,122.06
2016,Januari,10.47
2016,Februari,10.18
2016,Maret,11.30
2016,April,10.81
2016,Mei,11.14
2016,Juni,12.10
2016,Juli,9.02
2016,Agustus,12.39
2016,September,11.30
2016,Oktober,11.51
2016,November,12.67
2016,Desember,12.78
2015,Januari,12.61
2015,Februari,11.51
2015,Maret,12.61
2015,April,12.63
2015,Mei,11.61
2015,Juni,12.98
2015,Juli,10.08
2015,Agustus,12.40
2015,September,11.56
2015,Oktober,11.11
2015,November,11.52
2015,Desember,12.08
